,Unnamed: 0,Literature,Unnamed: 1,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,logP,logQ,logD,Label,Vmic_index
157,157,,40,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,323.0,0.0123711340206185,0.536585365853658,2204,-4.392389421709432,-0.6225296133459929,3.76985980836344,CFCs,1
158,158,,41,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,323.0,0.0346391752577319,0.699186991869917,2204,-3.362770004528272,-0.3578370591189123,3.004932945409359,CFCs,1
159,159,,42,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,323.0,0.0519587628865979,0.991869918699186,2204,-2.957304896420106,-0.008163310639161989,2.949141585780944,CFCs,1
160,160,,43,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,323.0,0.09154639175257721,1.23577235772357,2204,-2.390909421499305,0.211696165473853,2.602605586973159,CFCs,1
161,161,,44,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,323.0,0.138556701030927,1.54471544715447,2204,-1.976475643408385,0.4348397167880676,2.411315360196453,CFCs,1
162,162,,45,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,323.0,0.178144329896907,1.67479674796747,2204,-1.725161215127474,0.5156918134171578,2.240853028544632,CFCs,1
163,163,,46,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,323.0,0.239999999999999,1.91869918699186,2204,-1.42711635564015,0.6516474496531873,2.078763805293337,CFCs,1
164,164,,47,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,323.0,0.304329896907216,2.08130081300812,2204,-1.189642978771113,0.7329930891071402,1.922636067878253,CFCs,1
165,165,,48,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,323.0,0.4131958762886589,2.35772357723577,2204,-0.8838335217267757,0.8576965676081012,1.741530089334877,CFCs,1
166,166,,49,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,323.0,0.494845360824742,2.48780487804878,2204,-0.7035099675954924,0.9114007465799631,1.614910714175456,CFCs,1
167,167,,50,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,323.0,0.5962886597938141,2.61788617886178,2204,-0.5170304006528742,0.9623671901719875,1.479397590824862,CFCs,1
168,168,,51,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,323.0,0.70020618556701,2.74796747967479,2204,-0.3563804365002914,1.010861540110599,1.36724197661089,CFCs,1
169,169,,52,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,323.0,0.7967010309278341,2.84552845528455,2204,-0.2272757885991215,1.045748799111041,1.273024587710162,CFCs,1
170,170,,53,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,323.0,0.898144329896907,2.9430894308943,2204,-0.1074244998786781,1.07945985645335,1.186884356332028,CFCs,1
171,171,,54,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,323.0,0.997113402061855,3.04065040650406,2204,-0.002890772196846313,1.112071442042113,1.114962214238959,CFCs,1
172,172,,55,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,323.0,1.04907216494845,3.04065040650406,2204,0.04790612108842577,1.112071442042113,1.064165320953687,CFCs,1
173,173,,56,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,323.0,1.09855670103092,3.08943089430894,2204,0.09399722828868912,1.127986897348013,1.033989669059324,CFCs,1
174,174,,57,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,323.0,1.13567010309278,3.08943089430894,2204,0.1272228759170135,1.127986897348013,1.000764021430999,CFCs,1
175,175,,58,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,323.0,1.18515463917525,3.17073170731707,2204,0.1698732632673802,1.153962383751274,0.9840891204838933,CFCs,1
176,176,,59,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,348.0,0.0148453608247422,0.32520325203252,2205,-4.210067864915478,-1.123304901258482,3.086762963656996,CFCs,1
177,177,,60,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,348.0,0.0321649484536082,0.40650406504065,2205,-3.436877976681993,-0.9001613499442724,2.536716626737721,CFCs,1
178,178,,61,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,348.0,0.0519587628865979,0.569105691056909,2205,-2.957304896420106,-0.5636891133230613,2.393615783097045,CFCs,1
179,179,,62,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,348.0,0.0989690721649483,0.796747967479674,2205,-2.312947880029594,-0.2272168767018465,2.085731003327747,CFCs,1
180,180,,63,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,348.0,0.143505154639175,0.991869918699186,2205,-1.941384323597111,-0.008163310639161989,1.933221012957949,CFCs,1
181,181,,64,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,348.0,0.175670103092783,1.12195121951219,2205,-1.739147457102216,0.1150693297847825,1.854216786886999,CFCs,1
182,182,,65,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,0.25,0.56,,,,348.0,0.237525773195876,1.3170731707317,2205,-1.437479142675693,0.2754119798599611,1.712891122535654,CFCs,1
